gender,student_ethnicity,parents_degree,lunch,test_prep,math_score,reading_score,writing_score
male,C,unknown_high_school_degree,standard,no,49,49,41
male,B,associate_degree,subsidised,no,44,41,38
male,E,unknown_high_school_degree,standard,no,30,26,22
male,A,bachelor_degree,standard,yes,80,78,81
female,D,unknown_high_school_degree,standard,yes,61,74,72
female,E,master_degree,standard,no,62,68,68
female,B,associate_degree,standard,no,47,49,50
male,B,high_school_degree,subsidised,no,49,45,45
male,A,unknown_college_degree,subsidised,yes,50,47,54
male,E,associate_degree,standard,no,72,64,63
male,D,high_school_degree,subsidised,no,42,39,34
female,C,unknown_college_degree,standard,no,73,80,82
female,C,unknown_college_degree,subsidised,no,76,83,88
female,D,associate_degree,standard,no,71,71,74
female,A,unknown_college_degree,standard,no,58,70,67
female,D,unknown_high_school_degree,standard,no,73,86,82
female,C,bachelor_degree,standard,no,65,72,74
male,C,high_school_degree,subsidised,no,27,34,36
male,C,high_school_degree,standard,no,71,79,71
male,C,associate_degree,subsidised,yes,43,45,50
female,B,unknown_college_degree,standard,no,79,86,92
male,C,associate_degree,subsidised,yes,78,81,82
male,B,unknown_high_school_degree,standard,yes,65,66,62
female,E,unknown_college_degree,standard,yes,63,72,70
female,D,unknown_college_degree,subsidised,no,58,67,62
female,D,bachelor_degree,standard,no,65,67,62
male,B,unknown_college_degree,standard,no,79,67,67
male,D,bachelor_degree,standard,yes,68,74,74
female,D,associate_degree,standard,no,85,91,89
male,B,high_school_degree,standard,yes,60,44,47
male,C,unknown_college_degree,standard,yes,98,86,90
female,C,unknown_college_degree,standard,no,58,67,72
female,D,master_degree,standard,no,87,100,100
male,E,associate_degree,standard,yes,66,63,64
female,B,associate_degree,subsidised,no,52,76,70
female,B,unknown_high_school_degree,standard,no,70,64,72
female,D,associate_degree,subsidised,yes,77,89,98
male,C,high_school_degree,standard,no,62,55,49
male,A,associate_degree,standard,no,54,53,47
female,D,unknown_college_degree,standard,no,51,58,54
female,E,bachelor_degree,standard,yes,99,100,100
male,C,high_school_degree,standard,no,84,77,74
female,B,bachelor_degree,subsidised,no,75,85,82
female,D,bachelor_degree,standard,no,78,82,79
female,D,unknown_high_school_degree,standard,no,51,63,61
female,C,unknown_college_degree,standard,no,55,69,65
female,C,bachelor_degree,standard,yes,79,92,89
male,B,associate_degree,standard,yes,91,89,92
female,C,unknown_college_degree,standard,yes,88,93,93
male,D,high_school_degree,subsidised,no,63,57,56
male,E,unknown_college_degree,standard,no,83,80,73
female,B,high_school_degree,standard,no,87,95,86
male,B,unknown_high_school_degree,standard,no,72,68,67
male,D,unknown_college_degree,standard,yes,65,77,74
male,D,master_degree,standard,no,82,82,74
female,A,bachelor_degree,standard,no,51,49,51
male,D,master_degree,standard,no,89,84,82
male,C,unknown_high_school_degree,subsidised,yes,53,37,40
male,E,unknown_college_degree,subsidised,yes,87,74,70
female,C,unknown_college_degree,standard,yes,75,81,84
male,D,bachelor_degree,subsidised,yes,74,79,75
male,C,bachelor_degree,standard,no,58,55,48
male,B,unknown_high_school_degree,standard,yes,51,54,41
male,E,high_school_degree,standard,no,70,55,56
female,C,associate_degree,standard,no,59,66,67
male,D,unknown_college_degree,standard,yes,71,61,69
female,D,unknown_high_school_degree,standard,no,76,72,71
female,C,unknown_college_degree,subsidised,no,59,62,64
female,E,unknown_college_degree,subsidised,yes,42,55,54
male,A,high_school_degree,standard,no,57,43,47
male,D,unknown_college_degree,standard,no,88,73,78
female,C,unknown_college_degree,subsidised,no,22,39,33
male,B,unknown_high_school_degree,standard,no,88,84,75
male,C,associate_degree,subsidised,no,73,68,66
female,D,bachelor_degree,standard,yes,68,75,81
male,E,associate_degree,subsidised,yes,100,100,93
male,A,unknown_high_school_degree,standard,yes,62,67,69
male,A,bachelor_degree,standard,no,77,67,68
female,B,associate_degree,standard,yes,59,70,66
male,D,bachelor_degree,standard,no,54,49,47
male,D,unknown_high_school_degree,standard,no,62,67,61
female,C,unknown_college_degree,standard,yes,70,89,88
female,E,high_school_degree,subsidised,yes,66,74,78
male,B,unknown_college_degree,subsidised,no,60,60,60
female,B,associate_degree,standard,yes,61,86,87
male,D,associate_degree,subsidised,no,66,62,64
male,B,associate_degree,subsidised,yes,82,78,74
female,E,unknown_college_degree,subsidised,yes,75,88,85
male,B,master_degree,subsidised,no,49,53,52
male,C,high_school_degree,standard,no,52,53,49
female,E,master_degree,standard,no,81,92,91
female,C,bachelor_degree,standard,yes,96,100,100
male,C,high_school_degree,subsidised,yes,53,51,51
female,B,master_degree,subsidised,yes,58,76,78
female,B,high_school_degree,standard,yes,68,83,78
female,C,unknown_college_degree,subsidised,yes,67,75,70
male,A,high_school_degree,standard,yes,72,73,74
male,E,unknown_high_school_degree,standard,no,94,88,78
female,D,unknown_college_degree,standard,no,79,86,81
female,C,associate_degree,standard,no,63,67,70
female,C,bachelor_degree,subsidised,yes,43,51,54
female,C,master_degree,standard,yes,81,91,87
female,B,high_school_degree,subsidised,yes,46,54,58
female,C,associate_degree,standard,yes,71,77,77
female,B,master_degree,subsidised,yes,52,70,62
female,D,unknown_high_school_degree,standard,yes,97,100,100
male,C,master_degree,subsidised,yes,62,68,75
female,C,unknown_college_degree,subsidised,no,46,64,66
female,E,high_school_degree,standard,no,50,50,47
female,D,associate_degree,standard,no,65,69,70
male,C,unknown_high_school_degree,subsidised,yes,45,52,49
male,C,associate_degree,subsidised,yes,65,67,65
male,E,high_school_degree,standard,no,80,76,65
male,D,unknown_high_school_degree,standard,yes,62,66,68
male,B,unknown_high_school_degree,subsidised,no,48,52,45
female,C,bachelor_degree,standard,no,77,88,87
female,E,associate_degree,standard,no,66,65,69
male,D,unknown_college_degree,standard,yes,76,83,79
female,B,unknown_high_school_degree,standard,no,62,64,66
male,D,unknown_college_degree,standard,yes,77,62,62
female,C,master_degree,standard,yes,69,84,85
male,D,associate_degree,standard,no,61,55,52
male,C,unknown_high_school_degree,subsidised,yes,59,69,65
male,E,high_school_degree,subsidised,no,55,56,51
female,B,unknown_college_degree,subsidised,no,45,53,55
female,B,bachelor_degree,subsidised,no,78,79,76
female,C,associate_degree,standard,yes,67,84,86
female,D,unknown_college_degree,subsidised,no,65,81,77
male,C,associate_degree,standard,no,69,77,69
female,B,associate_degree,standard,no,57,69,68
male,C,unknown_college_degree,standard,no,59,41,42
male,D,unknown_high_school_degree,standard,yes,74,71,78
male,E,bachelor_degree,standard,no,82,62,62
male,E,high_school_degree,standard,yes,81,80,76
female,B,unknown_college_degree,subsidised,no,74,81,76
female,B,unknown_college_degree,subsidised,no,58,61,66
male,D,unknown_high_school_degree,subsidised,yes,80,79,79
male,C,unknown_college_degree,subsidised,no,35,28,27
female,C,high_school_degree,subsidised,no,42,62,60
male,C,associate_degree,subsidised,yes,60,51,56
male,E,high_school_degree,standard,yes,87,91,81
male,B,unknown_high_school_degree,standard,yes,84,83,75
female,E,associate_degree,subsidised,yes,83,86,88
female,C,high_school_degree,subsidised,no,34,42,39
male,B,high_school_degree,subsidised,no,66,77,70
male,B,unknown_high_school_degree,standard,yes,61,56,56
female,D,high_school_degree,standard,yes,56,68,74
male,B,associate_degree,standard,no,87,85,73
female,C,unknown_high_school_degree,subsidised,no,55,65,62
male,D,unknown_high_school_degree,standard,no,86,80,75
female,B,associate_degree,standard,yes,52,66,73
female,E,master_degree,subsidised,no,45,56,54
female,C,unknown_college_degree,standard,no,72,72,71
male,D,high_school_degree,standard,no,57,50,54
male,A,unknown_high_school_degree,subsidised,no,68,72,64
female,C,unknown_college_degree,standard,yes,88,95,94
male,D,unknown_college_degree,standard,no,76,64,66
male,C,associate_degree,standard,no,46,43,42
female,B,bachelor_degree,standard,no,67,86,83
male,E,unknown_high_school_degree,standard,no,92,87,78
male,C,bachelor_degree,standard,yes,83,82,84
male,D,associate_degree,standard,no,80,75,77
male,D,bachelor_degree,subsidised,no,63,66,67
female,D,unknown_high_school_degree,standard,yes,64,60,74
male,B,unknown_college_degree,standard,no,54,52,51
male,C,associate_degree,standard,no,84,80,80
male,D,high_school_degree,subsidised,yes,73,68,66
female,E,bachelor_degree,standard,no,80,83,83
female,D,high_school_degree,standard,no,56,52,55
male,E,unknown_college_degree,standard,no,59,51,43
male,D,unknown_high_school_degree,standard,no,75,74,69
male,C,associate_degree,standard,no,85,76,71
male,E,associate_degree,standard,no,89,76,74
female,B,high_school_degree,standard,yes,58,70,68
female,B,high_school_degree,standard,no,65,64,62
male,C,high_school_degree,standard,no,68,60,53
male,A,unknown_high_school_degree,standard,yes,47,49,49
female,D,unknown_college_degree,subsidised,no,71,83,83
female,B,unknown_high_school_degree,standard,yes,60,70,70
male,D,master_degree,standard,no,80,80,72
male,D,high_school_degree,standard,no,54,52,52
female,E,unknown_college_degree,standard,no,62,73,70
female,C,associate_degree,subsidised,no,64,73,68
male,C,associate_degree,standard,yes,78,77,77
female,B,unknown_college_degree,standard,no,70,75,78
female,C,master_degree,subsidised,yes,65,81,81
female,C,unknown_high_school_degree,subsidised,yes,64,79,77
male,C,unknown_college_degree,standard,yes,79,79,78
female,C,unknown_high_school_degree,subsidised,no,44,50,51
female,E,high_school_degree,standard,no,99,93,90
male,D,high_school_degree,standard,no,76,73,68
male,D,unknown_high_school_degree,subsidised,no,59,42,41
female,C,bachelor_degree,standard,no,63,75,81
female,D,high_school_degree,standard,no,69,72,77
female,D,associate_degree,standard,yes,88,92,95
female,E,unknown_college_degree,subsidised,no,71,76,70
male,C,bachelor_degree,standard,no,69,63,61
male,C,unknown_college_degree,standard,no,58,49,42
female,D,associate_degree,subsidised,no,47,53,58
female,D,unknown_college_degree,standard,no,65,70,71
male,B,unknown_college_degree,standard,yes,88,85,76
male,C,bachelor_degree,standard,no,83,78,73
female,C,unknown_high_school_degree,standard,yes,85,92,93
female,E,high_school_degree,standard,yes,59,63,75
female,C,unknown_high_school_degree,subsidised,no,65,86,80
male,B,bachelor_degree,subsidised,no,73,56,57
male,D,high_school_degree,standard,no,53,52,42
male,D,high_school_degree,standard,no,45,48,46
female,D,bachelor_degree,subsidised,no,73,79,84
female,D,unknown_college_degree,subsidised,yes,70,78,78
female,B,unknown_high_school_degree,standard,no,37,46,46
male,B,associate_degree,standard,yes,81,82,82
male,E,associate_degree,standard,yes,97,82,88
female,B,unknown_high_school_degree,standard,no,67,89,82
male,B,bachelor_degree,subsidised,no,88,75,76
male,E,unknown_high_school_degree,standard,yes,77,76,77
male,C,associate_degree,standard,no,76,70,68
male,D,unknown_high_school_degree,standard,no,86,73,70
male,C,unknown_high_school_degree,standard,yes,63,60,57
female,E,bachelor_degree,standard,no,65,73,75
male,D,high_school_degree,subsidised,yes,78,77,80
male,B,associate_degree,subsidised,no,67,62,60
male,A,unknown_high_school_degree,standard,yes,46,41,43
male,E,associate_degree,standard,yes,71,74,68
male,C,high_school_degree,subsidised,yes,40,46,50
male,D,associate_degree,subsidised,no,90,87,75
male,A,unknown_college_degree,subsidised,yes,81,78,81
male,D,unknown_high_school_degree,subsidised,no,56,54,52
female,C,associate_degree,standard,yes,67,84,81
male,B,associate_degree,standard,no,80,76,64
female,C,associate_degree,standard,yes,74,75,83
male,A,unknown_college_degree,standard,no,69,67,69
male,E,unknown_college_degree,standard,yes,99,87,81
male,C,unknown_high_school_degree,standard,no,51,52,44
female,B,associate_degree,subsidised,no,53,71,67
female,D,high_school_degree,subsidised,no,49,57,52
female,B,associate_degree,standard,no,73,76,80
male,B,bachelor_degree,standard,no,66,60,57
male,D,bachelor_degree,standard,yes,67,61,68
female,C,associate_degree,subsidised,yes,68,67,69
female,C,bachelor_degree,standard,yes,59,64,75
male,C,high_school_degree,standard,no,71,66,65
female,D,master_degree,standard,yes,77,82,91
male,C,associate_degree,standard,no,83,72,78
male,B,bachelor_degree,standard,no,63,71,69
female,D,associate_degree,subsidised,no,56,65,63
female,C,high_school_degree,subsidised,yes,67,79,84
female,E,high_school_degree,standard,no,75,86,79
female,C,unknown_college_degree,standard,no,71,81,80
female,C,unknown_high_school_degree,subsidised,no,43,53,53
female,C,high_school_degree,subsidised,no,41,46,43
female,C,unknown_college_degree,standard,no,82,90,94
male,C,unknown_college_degree,standard,no,61,61,62
male,A,unknown_college_degree,subsidised,no,28,23,19
male,C,associate_degree,standard,yes,82,75,77
female,B,unknown_high_school_degree,standard,no,41,55,51
male,C,high_school_degree,standard,no,71,60,61
male,C,associate_degree,standard,no,47,37,35
male,E,associate_degree,standard,yes,62,56,53
male,B,associate_degree,standard,no,90,78,81
female,C,bachelor_degree,standard,no,83,93,95
female,B,unknown_college_degree,subsidised,no,61,68,66
male,D,unknown_high_school_degree,standard,yes,76,70,69
male,C,associate_degree,standard,no,49,51,43
female,B,unknown_high_school_degree,subsidised,no,24,38,27
female,D,unknown_high_school_degree,subsidised,yes,35,55,60
male,C,high_school_degree,subsidised,no,58,61,52
female,C,high_school_degree,standard,no,61,73,63
female,B,high_school_degree,standard,yes,69,76,74
male,D,associate_degree,standard,yes,67,72,67
male,D,unknown_college_degree,standard,no,79,73,67
female,C,high_school_degree,standard,no,72,80,75
male,B,unknown_college_degree,standard,no,62,61,57
female,C,bachelor_degree,standard,yes,77,94,95
male,D,high_school_degree,subsidised,no,75,74,66
male,E,associate_degree,standard,no,87,74,76
female,B,bachelor_degree,standard,no,52,65,69
male,E,unknown_college_degree,standard,no,66,57,52
female,C,unknown_college_degree,standard,yes,63,78,80
female,C,associate_degree,standard,no,46,58,57
female,C,unknown_college_degree,standard,no,59,71,70
female,B,bachelor_degree,standard,no,61,72,70
male,A,associate_degree,standard,no,63,61,61
female,C,unknown_college_degree,subsidised,yes,42,66,69
male,D,unknown_college_degree,subsidised,no,59,62,61
female,D,unknown_college_degree,standard,no,80,90,89
female,B,high_school_degree,standard,no,58,62,59
male,B,unknown_high_school_degree,standard,yes,85,84,78
female,C,unknown_college_degree,standard,no,52,58,58
female,D,unknown_high_school_degree,subsidised,no,27,34,32
male,C,unknown_college_degree,standard,no,59,60,58
male,A,bachelor_degree,subsidised,yes,49,58,60
male,C,high_school_degree,standard,yes,69,58,53
male,C,bachelor_degree,subsidised,no,61,66,61
female,A,unknown_high_school_degree,subsidised,no,44,64,58
female,D,unknown_high_school_degree,standard,no,73,84,85
male,E,unknown_college_degree,standard,no,84,77,71
female,C,unknown_college_degree,subsidised,yes,45,73,70
male,D,unknown_high_school_degree,standard,no,74,74,72
female,D,unknown_college_degree,standard,yes,82,97,96
female,D,bachelor_degree,standard,no,59,70,73
male,E,associate_degree,subsidised,no,46,43,41
female,D,unknown_high_school_degree,standard,no,80,90,82
female,D,master_degree,subsidised,yes,85,95,100
female,A,unknown_high_school_degree,standard,no,71,83,77
male,A,bachelor_degree,standard,no,66,64,62
female,B,associate_degree,standard,no,80,86,83
male,C,associate_degree,standard,yes,87,100,95
male,C,master_degree,subsidised,no,79,81,71
female,E,unknown_high_school_degree,subsidised,no,38,49,45
female,A,unknown_high_school_degree,subsidised,no,38,43,43
female,E,unknown_college_degree,standard,no,67,76,75
female,E,bachelor_degree,standard,no,64,73,70
female,C,associate_degree,subsidised,no,57,78,67
female,D,high_school_degree,standard,no,62,64,64
male,D,master_degree,standard,no,73,70,75
male,E,unknown_high_school_degree,subsidised,yes,73,67,59
female,D,unknown_college_degree,standard,no,77,68,77
male,E,unknown_college_degree,standard,no,76,67,67
male,C,associate_degree,standard,yes,57,54,56
female,C,unknown_high_school_degree,standard,yes,65,74,77
male,A,high_school_degree,subsidised,no,48,45,41
female,B,high_school_degree,subsidised,no,50,67,63
female,C,associate_degree,standard,no,85,89,95
male,B,unknown_high_school_degree,standard,no,74,63,57
male,D,unknown_high_school_degree,standard,no,60,59,54
female,C,unknown_high_school_degree,standard,yes,59,54,67
male,A,unknown_college_degree,standard,no,53,43,43
female,A,unknown_college_degree,subsidised,no,49,65,55
female,D,high_school_degree,standard,yes,88,99,100
female,C,high_school_degree,standard,no,54,59,62
female,C,unknown_high_school_degree,standard,no,63,73,68
male,B,associate_degree,standard,yes,65,65,63
female,B,associate_degree,standard,no,82,80,77
female,D,high_school_degree,subsidised,yes,52,57,56
male,D,associate_degree,standard,yes,87,84,85
female,D,master_degree,standard,yes,70,71,74
male,E,unknown_college_degree,standard,yes,84,83,78
male,D,associate_degree,standard,no,71,66,60
male,B,unknown_high_school_degree,standard,yes,63,67,67
female,C,bachelor_degree,subsidised,yes,51,72,79
male,E,high_school_degree,standard,no,84,73,69
male,C,bachelor_degree,standard,yes,71,74,68
male,C,associate_degree,standard,no,74,73,67
male,D,unknown_college_degree,standard,no,68,59,62
male,E,high_school_degree,subsidised,yes,57,56,54
female,C,associate_degree,subsidised,yes,82,93,93
female,D,high_school_degree,standard,yes,57,58,64
female,D,master_degree,subsidised,yes,47,58,67
female,A,unknown_high_school_degree,standard,yes,59,85,80
male,B,unknown_college_degree,subsidised,no,41,39,34
female,C,unknown_college_degree,subsidised,no,62,67,62
male,C,bachelor_degree,standard,no,86,83,86
male,C,unknown_high_school_degree,subsidised,no,69,71,65
male,A,unknown_high_school_degree,subsidised,no,65,59,53
male,C,unknown_high_school_degree,subsidised,no,68,63,54
male,C,associate_degree,subsidised,no,64,66,59
female,C,high_school_degree,standard,no,61,72,70
male,C,high_school_degree,standard,no,61,56,55
female,A,unknown_high_school_degree,subsidised,no,47,59,50
male,C,unknown_high_school_degree,standard,no,73,66,66
male,C,unknown_college_degree,subsidised,yes,50,48,53
male,D,associate_degree,standard,no,75,68,64
male,D,associate_degree,subsidised,no,75,66,73
male,C,high_school_degree,standard,no,70,56,51
male,D,unknown_high_school_degree,standard,yes,89,88,82
female,C,unknown_college_degree,standard,yes,67,81,79
female,D,high_school_degree,standard,no,78,81,80
female,A,unknown_high_school_degree,subsidised,no,59,73,69
female,B,associate_degree,standard,no,73,83,76
male,A,unknown_high_school_degree,subsidised,no,79,82,73
female,C,unknown_high_school_degree,standard,yes,67,74,77
male,D,unknown_college_degree,subsidised,no,69,66,60
male,C,high_school_degree,standard,yes,86,81,80
male,B,high_school_degree,standard,no,47,46,42
male,B,associate_degree,standard,no,81,73,72
female,C,unknown_college_degree,subsidised,yes,64,85,85
female,E,unknown_college_degree,standard,no,100,92,97
female,C,associate_degree,subsidised,no,65,77,74
male,C,unknown_college_degree,subsidised,no,65,58,49
female,C,associate_degree,subsidised,no,53,61,62
male,C,bachelor_degree,subsidised,no,37,56,47
female,D,bachelor_degree,standard,no,79,89,89
male,D,associate_degree,subsidised,no,53,54,48
female,E,bachelor_degree,standard,no,100,100,100
male,B,high_school_degree,standard,yes,72,65,68
male,C,bachelor_degree,subsidised,no,53,58,55
male,B,unknown_college_degree,subsidised,no,54,54,45
female,E,unknown_college_degree,standard,no,71,70,76
female,C,unknown_college_degree,subsidised,no,77,90,91
male,A,bachelor_degree,standard,yes,75,58,62
female,C,unknown_college_degree,standard,no,84,87,91
female,D,associate_degree,subsidised,no,26,31,38
male,A,high_school_degree,subsidised,yes,72,67,65
female,A,high_school_degree,subsidised,yes,77,88,85
male,C,unknown_college_degree,standard,no,91,74,76
female,C,associate_degree,standard,yes,83,85,90
female,C,high_school_degree,standard,no,63,69,74
female,C,associate_degree,standard,yes,68,86,84
female,D,unknown_high_school_degree,standard,no,59,67,61
female,B,associate_degree,standard,yes,90,90,91
female,D,bachelor_degree,standard,yes,71,76,83
male,E,bachelor_degree,standard,yes,76,62,66
male,D,associate_degree,standard,no,80,68,72
female,D,master_degree,standard,no,55,64,70
male,E,associate_degree,standard,no,76,71,67
male,B,high_school_degree,standard,yes,73,71,68
female,D,associate_degree,subsidised,no,52,59,56
male,C,unknown_college_degree,subsidised,no,68,68,61
male,A,high_school_degree,standard,no,59,52,46
female,B,associate_degree,standard,no,49,52,54
male,C,high_school_degree,standard,no,70,74,71
male,D,unknown_college_degree,subsidised,no,61,47,56
female,C,associate_degree,subsidised,no,60,75,74
male,B,unknown_high_school_degree,standard,yes,64,53,57
male,A,associate_degree,subsidised,yes,79,82,82
female,A,associate_degree,subsidised,no,65,85,76
female,C,associate_degree,standard,no,64,64,70
female,C,unknown_college_degree,standard,no,83,83,90
female,C,bachelor_degree,standard,no,81,88,90
female,B,high_school_degree,standard,no,54,64,68
male,D,high_school_degree,standard,yes,68,64,66
female,C,unknown_college_degree,standard,no,54,48,52
female,D,unknown_college_degree,subsidised,yes,59,78,76
female,B,unknown_high_school_degree,standard,no,66,69,68
male,E,unknown_college_degree,standard,no,76,71,72
female,D,master_degree,standard,no,74,79,82
female,B,associate_degree,standard,yes,94,87,92
male,C,unknown_college_degree,subsidised,no,63,61,54
female,E,associate_degree,standard,yes,95,89,92
female,D,master_degree,subsidised,no,40,59,54
female,B,unknown_high_school_degree,standard,no,82,82,80
male,A,high_school_degree,standard,no,68,70,66
male,B,bachelor_degree,subsidised,no,55,59,54
male,C,master_degree,standard,no,79,78,77
female,C,bachelor_degree,standard,no,86,92,87
male,D,unknown_college_degree,standard,no,76,71,73
male,A,unknown_high_school_degree,standard,no,64,50,43
male,D,unknown_high_school_degree,subsidised,no,62,49,52
female,B,unknown_high_school_degree,standard,yes,54,61,62
female,B,master_degree,subsidised,yes,77,97,94
female,C,unknown_high_school_degree,standard,yes,76,87,85
female,D,unknown_college_degree,standard,no,74,89,84
female,E,unknown_college_degree,standard,yes,66,74,73
female,D,unknown_high_school_degree,standard,yes,66,78,78
female,B,high_school_degree,subsidised,yes,67,78,79
male,D,unknown_college_degree,standard,no,71,49,52
female,C,associate_degree,standard,no,91,86,84
male,D,bachelor_degree,standard,no,69,58,57
male,C,master_degree,subsidised,no,54,59,50
male,C,high_school_degree,standard,yes,53,52,49
male,E,unknown_college_degree,standard,no,68,60,59
male,C,unknown_high_school_degree,subsidised,yes,56,61,60
female,C,high_school_degree,subsidised,no,36,53,43
female,D,bachelor_degree,subsidised,no,29,41,47
female,C,associate_degree,standard,no,62,74,70
female,C,associate_degree,standard,yes,68,67,73
female,C,unknown_high_school_degree,standard,no,47,54,53
male,E,associate_degree,standard,yes,62,61,58
female,E,associate_degree,standard,yes,79,88,94
male,B,high_school_degree,standard,yes,73,69,68
female,C,bachelor_degree,subsidised,yes,66,83,83
male,C,associate_degree,standard,yes,51,60,58
female,D,high_school_degree,standard,no,51,66,62
male,E,bachelor_degree,standard,yes,85,66,71
male,A,associate_degree,standard,yes,97,92,86
male,C,high_school_degree,standard,yes,75,69,68
male,D,associate_degree,subsidised,yes,79,82,80
female,C,associate_degree,standard,no,81,77,79
female,D,associate_degree,standard,no,82,95,89
female,D,master_degree,standard,no,64,63,66
male,E,unknown_high_school_degree,subsidised,yes,78,83,80
female,A,unknown_high_school_degree,standard,yes,92,100,97
male,C,high_school_degree,standard,yes,72,67,64
female,C,high_school_degree,subsidised,no,62,67,64
male,C,master_degree,standard,no,79,72,69
male,C,unknown_high_school_degree,subsidised,no,79,76,65
male,B,bachelor_degree,subsidised,yes,87,90,88
female,B,associate_degree,standard,no,40,48,50
male,D,unknown_college_degree,subsidised,no,77,62,64
male,E,associate_degree,standard,no,53,45,40
female,C,unknown_college_degree,subsidised,no,32,39,33
female,C,associate_degree,standard,yes,55,72,79
male,C,master_degree,subsidised,no,61,67,66
female,B,associate_degree,subsidised,no,53,70,70
male,D,unknown_high_school_degree,standard,no,73,66,62
female,D,unknown_college_degree,standard,yes,74,75,79
female,C,unknown_college_degree,standard,no,63,74,74
male,C,bachelor_degree,standard,yes,96,90,92
female,D,unknown_college_degree,subsidised,yes,63,80,80
male,B,bachelor_degree,subsidised,no,48,51,46
male,B,associate_degree,standard,no,48,43,45
female,E,bachelor_degree,subsidised,yes,92,100,100
female,D,master_degree,subsidised,yes,61,71,78
male,B,high_school_degree,subsidised,no,63,48,47
male,D,bachelor_degree,subsidised,no,68,68,67
male,B,unknown_college_degree,standard,yes,71,75,70
male,A,bachelor_degree,standard,no,91,96,92
female,C,unknown_college_degree,standard,no,53,62,56
female,C,high_school_degree,subsidised,yes,50,66,64
female,E,high_school_degree,standard,no,74,81,71
male,A,associate_degree,subsidised,yes,40,55,53
male,A,unknown_college_degree,standard,yes,61,51,52
female,B,high_school_degree,standard,no,81,91,89
female,B,unknown_college_degree,subsidised,yes,48,56,58
female,D,master_degree,standard,no,53,61,68
